analysis	variant	removed_gene	dataset	genes_used	day14_hedges_g	direction
family_removal	full		GSE168760_AFL	69	1.28022291674649	UP
family_removal	full		GSE206495_NAFL_FOREARM	69	1.08974900538115	UP
family_removal	minus_COL1A1_COL1A2		GSE168760_AFL	67	1.23989396122122	UP
family_removal	minus_COL1A1_COL1A2		GSE206495_NAFL_FOREARM	67	1.04650097895927	UP
family_removal	minus_all_COL_prefix		GSE168760_AFL	49	1.1594263755016	UP
family_removal	minus_all_COL_prefix		GSE206495_NAFL_FOREARM	49	0.965604219854217	UP
leave_one_gene_out	LOO	ADAMTS12	GSE168760_AFL	68	1.28584427921638	UP
leave_one_gene_out	LOO	ADAMTS12	GSE206495_NAFL_FOREARM	68	1.07098674667693	UP
leave_one_gene_out	LOO	ADAMTS14	GSE168760_AFL	68	1.24898440744534	UP
leave_one_gene_out	LOO	ADAMTS14	GSE206495_NAFL_FOREARM	68	1.12036501079142	UP
leave_one_gene_out	LOO	ADAMTS19	GSE168760_AFL	68	1.28678401733725	UP
leave_one_gene_out	LOO	ADAMTS19	GSE206495_NAFL_FOREARM	68	1.11370621223493	UP
leave_one_gene_out	LOO	ADAMTS2	GSE168760_AFL	68	1.27138323702041	UP
leave_one_gene_out	LOO	ADAMTS2	GSE206495_NAFL_FOREARM	68	1.07749969909454	UP
leave_one_gene_out	LOO	ADAMTS3	GSE168760_AFL	68	1.25557217201927	UP
leave_one_gene_out	LOO	ADAMTS3	GSE206495_NAFL_FOREARM	68	1.11892211209969	UP
leave_one_gene_out	LOO	ADAMTS7	GSE168760_AFL	68	1.26424844261707	UP
leave_one_gene_out	LOO	ADAMTS7	GSE206495_NAFL_FOREARM	68	1.09464271088725	UP
leave_one_gene_out	LOO	AEBP1	GSE168760_AFL	68	1.29080635284353	UP
leave_one_gene_out	LOO	AEBP1	GSE206495_NAFL_FOREARM	68	1.08932207269277	UP
leave_one_gene_out	LOO	ANTXR2	GSE168760_AFL	68	1.30966337538997	UP
leave_one_gene_out	LOO	ANTXR2	GSE206495_NAFL_FOREARM	68	1.09794369490684	UP
leave_one_gene_out	LOO	ANXA2	GSE168760_AFL	68	1.26620614181448	UP
leave_one_gene_out	LOO	ANXA2	GSE206495_NAFL_FOREARM	68	1.1072281833691	UP
leave_one_gene_out	LOO	ATP7A	GSE168760_AFL	68	1.25351983272345	UP
leave_one_gene_out	LOO	ATP7A	GSE206495_NAFL_FOREARM	68	1.0595211221492	UP
leave_one_gene_out	LOO	BMP1	GSE168760_AFL	68	1.27530716122045	UP
leave_one_gene_out	LOO	BMP1	GSE206495_NAFL_FOREARM	68	1.0717068427415	UP
leave_one_gene_out	LOO	CHADL	GSE168760_AFL	68	1.28783643327875	UP
leave_one_gene_out	LOO	CHADL	GSE206495_NAFL_FOREARM	68	1.11027942086123	UP
leave_one_gene_out	LOO	COL11A1	GSE168760_AFL	68	1.30837730674674	UP
leave_one_gene_out	LOO	COL11A1	GSE206495_NAFL_FOREARM	68	1.08339977749231	UP
leave_one_gene_out	LOO	COL11A2	GSE168760_AFL	68	1.27223561603	UP
leave_one_gene_out	LOO	COL11A2	GSE206495_NAFL_FOREARM	68	1.12092220971066	UP
leave_one_gene_out	LOO	COL12A1	GSE168760_AFL	68	1.29720343490236	UP
leave_one_gene_out	LOO	COL12A1	GSE206495_NAFL_FOREARM	68	1.10614455873238	UP
leave_one_gene_out	LOO	COL14A1	GSE168760_AFL	68	1.25994638345472	UP
leave_one_gene_out	LOO	COL14A1	GSE206495_NAFL_FOREARM	68	1.0761157551618	UP
leave_one_gene_out	LOO	COL1A1	GSE168760_AFL	68	1.25789624293925	UP
leave_one_gene_out	LOO	COL1A1	GSE206495_NAFL_FOREARM	68	1.06656688243109	UP
leave_one_gene_out	LOO	COL1A2	GSE168760_AFL	68	1.26355991137855	UP
leave_one_gene_out	LOO	COL1A2	GSE206495_NAFL_FOREARM	68	1.07097002146043	UP
leave_one_gene_out	LOO	COL28A1	GSE168760_AFL	68	1.31622555031145	UP
leave_one_gene_out	LOO	COL28A1	GSE206495_NAFL_FOREARM	68	1.11836908704995	UP
leave_one_gene_out	LOO	COL2A1	GSE168760_AFL	68	1.30172359335961	UP
leave_one_gene_out	LOO	COL2A1	GSE206495_NAFL_FOREARM	68	1.07793940416615	UP
leave_one_gene_out	LOO	COL3A1	GSE168760_AFL	68	1.24967226808121	UP
leave_one_gene_out	LOO	COL3A1	GSE206495_NAFL_FOREARM	68	1.06600195654444	UP
leave_one_gene_out	LOO	COL4A1	GSE168760_AFL	68	1.26516988398221	UP
leave_one_gene_out	LOO	COL4A1	GSE206495_NAFL_FOREARM	68	1.08604706415037	UP
leave_one_gene_out	LOO	COL4A2	GSE168760_AFL	68	1.27744189448365	UP
leave_one_gene_out	LOO	COL4A2	GSE206495_NAFL_FOREARM	68	1.08510828795301	UP
leave_one_gene_out	LOO	COL4A3	GSE168760_AFL	68	1.28606601309193	UP
leave_one_gene_out	LOO	COL4A3	GSE206495_NAFL_FOREARM	68	1.1062716443149	UP
leave_one_gene_out	LOO	COL4A4	GSE168760_AFL	68	1.28674720885556	UP
leave_one_gene_out	LOO	COL4A4	GSE206495_NAFL_FOREARM	68	1.09579860122642	UP
leave_one_gene_out	LOO	COL4A5	GSE168760_AFL	68	1.26466398262912	UP
leave_one_gene_out	LOO	COL4A5	GSE206495_NAFL_FOREARM	68	1.07439691070413	UP
leave_one_gene_out	LOO	COL4A6	GSE168760_AFL	68	1.25577051512015	UP
leave_one_gene_out	LOO	COL4A6	GSE206495_NAFL_FOREARM	68	1.07538909213509	UP
leave_one_gene_out	LOO	COL5A1	GSE168760_AFL	68	1.25764249408213	UP
leave_one_gene_out	LOO	COL5A1	GSE206495_NAFL_FOREARM	68	1.06850560100349	UP
leave_one_gene_out	LOO	COL5A2	GSE168760_AFL	68	1.26077600734926	UP
leave_one_gene_out	LOO	COL5A2	GSE206495_NAFL_FOREARM	68	1.07315032445311	UP
leave_one_gene_out	LOO	COL5A3	GSE168760_AFL	68	1.28934964917442	UP
leave_one_gene_out	LOO	COL5A3	GSE206495_NAFL_FOREARM	68	1.08717022918804	UP
leave_one_gene_out	LOO	COL6A1	GSE168760_AFL	68	1.26260398201942	UP
leave_one_gene_out	LOO	COL6A1	GSE206495_NAFL_FOREARM	68	1.06596556782109	UP
leave_one_gene_out	LOO	COL7A1	GSE168760_AFL	68	1.27912764540891	UP
leave_one_gene_out	LOO	COL7A1	GSE206495_NAFL_FOREARM	68	1.09452433908084	UP
leave_one_gene_out	LOO	COMP	GSE168760_AFL	68	1.30273718102802	UP
leave_one_gene_out	LOO	COMP	GSE206495_NAFL_FOREARM	68	1.07047064664131	UP
leave_one_gene_out	LOO	CRTAP	GSE168760_AFL	68	1.30029856694956	UP
leave_one_gene_out	LOO	CRTAP	GSE206495_NAFL_FOREARM	68	1.11370234716539	UP
leave_one_gene_out	LOO	CYP1B1	GSE168760_AFL	68	1.28729844648149	UP
leave_one_gene_out	LOO	CYP1B1	GSE206495_NAFL_FOREARM	68	1.10340531662856	UP
leave_one_gene_out	LOO	DDR2	GSE168760_AFL	68	1.30736263370872	UP
leave_one_gene_out	LOO	DDR2	GSE206495_NAFL_FOREARM	68	1.0928904716954	UP
leave_one_gene_out	LOO	DPT	GSE168760_AFL	68	1.31267450923482	UP
leave_one_gene_out	LOO	DPT	GSE206495_NAFL_FOREARM	68	1.10840258991885	UP
leave_one_gene_out	LOO	EFEMP2	GSE168760_AFL	68	1.29463025597765	UP
leave_one_gene_out	LOO	EFEMP2	GSE206495_NAFL_FOREARM	68	1.09954605303988	UP
leave_one_gene_out	LOO	EMILIN1	GSE168760_AFL	68	1.28759416313768	UP
leave_one_gene_out	LOO	EMILIN1	GSE206495_NAFL_FOREARM	68	1.09351819532723	UP
leave_one_gene_out	LOO	EXT1	GSE168760_AFL	68	1.24759592797604	UP
leave_one_gene_out	LOO	EXT1	GSE206495_NAFL_FOREARM	68	1.07957340707602	UP
leave_one_gene_out	LOO	FKBP10	GSE168760_AFL	68	1.27923590615208	UP
leave_one_gene_out	LOO	FKBP10	GSE206495_NAFL_FOREARM	68	1.07949461892919	UP
leave_one_gene_out	LOO	FMOD	GSE168760_AFL	68	1.30975080889332	UP
