test_id	day	source_direction	source_tail	selected_genes	target_rank_orientation	ES	NES	raw_p	gsea_permutations	expected_direction	direction_correct	BH_q	supported
1	1	AFL_TO_NAFL	POSITIVE	1695	positive	0.838732862222164	4.24199737133197	0.000115660421003932	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
2	1	AFL_TO_NAFL	NEGATIVE	1695	negative	0.780469257903171	4.23776343195486	0.000727802037845706	10000	NES_GT_0	TRUE	0.000793965859468043	TRUE
3	1	NAFL_TO_AFL	POSITIVE	1695	positive	0.844697809876286	4.33885114298762	0.000142045454545455	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
4	1	NAFL_TO_AFL	NEGATIVE	1695	negative	0.781178652691218	4.15669313038001	0.000336021505376344	10000	NES_GT_0	TRUE	0.000448028673835125	TRUE
5	7	AFL_TO_NAFL	POSITIVE	1695	positive	0.742494979292939	3.97946383375606	0.000185391175380052	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
6	7	AFL_TO_NAFL	NEGATIVE	1695	negative	0.681909019975401	3.68085838411812	0.000211148648648649	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
7	7	NAFL_TO_AFL	POSITIVE	1695	positive	0.758731452955152	4.16915415808091	0.000283607487237663	10000	NES_GT_0	TRUE	0.000425411230856495	TRUE
8	7	NAFL_TO_AFL	NEGATIVE	1695	negative	0.657205391030594	3.53148231422486	0.000154870682979712	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
9	14	AFL_TO_NAFL	POSITIVE	1695	positive	0.700251165760912	4.15355939609032	0.00117233294255569	10000	NES_GT_0	TRUE	0.00117233294255569	TRUE
10	14	AFL_TO_NAFL	NEGATIVE	1695	negative	0.539193962274774	2.9262970654755	0.000110485029278533	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
11	14	NAFL_TO_AFL	POSITIVE	1695	positive	0.728198797290881	4.25977681745014	0.000489476260401371	10000	NES_GT_0	TRUE	0.000587371512481645	TRUE
12	14	NAFL_TO_AFL	NEGATIVE	1695	negative	0.502115272580545	2.78801231585638	0.000125754527162978	10000	NES_GT_0	TRUE	0.000361969111969112	TRUE
