panel	source_file	record_type	iteration	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	transition_rho	same_transition_programs	statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations	deleted_from	deleted_participant	all_days_positive
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	1.0	0.75	0.785714285714286	0.392857142857143	0.642857142857143	0.392857142857143	0.928571428571429	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	2.0	0.75	0.892857142857143	0.607142857142857	0.75	0.607142857142857	0.928571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	3.0	0.857142857142857	0.714285714285714	0.535714285714286	0.702380952380953	0.535714285714286	1.0	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	4.0	0.607142857142857	0.464285714285714	0.0	0.357142857142857	0.0	0.535714285714286	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	5.0	0.964285714285714	0.428571428571429	0.285714285714286	0.559523809523809	0.285714285714286	0.392857142857143	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	6.0	0.571428571428571	0.75	0.142857142857143	0.488095238095238	0.142857142857143	0.821428571428571	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	7.0	0.857142857142857	0.392857142857143	0.75	0.666666666666667	0.392857142857143	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	8.0	0.714285714285714	0.75	0.571428571428571	0.678571428571429	0.571428571428571	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	9.0	0.785714285714286	-0.535714285714286	0.178571428571429	0.142857142857143	-0.535714285714286	0.892857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	10.0	0.857142857142857	0.0714285714285714	0.214285714285714	0.380952380952381	0.0714285714285714	0.392857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	11.0	0.607142857142857	0.571428571428571	0.107142857142857	0.428571428571429	0.107142857142857	0.821428571428571	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	12.0	1.0	0.857142857142857	0.285714285714286	0.714285714285714	0.285714285714286	0.928571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	13.0	0.571428571428571	0.5	0.464285714285714	0.511904761904762	0.464285714285714	0.142857142857143	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	14.0	0.964285714285714	0.571428571428571	0.5	0.678571428571429	0.5	0.892857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	15.0	0.892857142857143	0.75	0.107142857142857	0.583333333333333	0.107142857142857	0.964285714285714	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	16.0	0.0357142857142857	0.857142857142857	0.928571428571429	0.607142857142857	0.0357142857142857	0.25	2.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	17.0	0.785714285714286	0.214285714285714	0.0	0.333333333333333	0.0	0.928571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	18.0	0.785714285714286	0.571428571428571	0.535714285714286	0.630952380952381	0.535714285714286	0.821428571428571	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	19.0	0.892857142857143	0.785714285714286	0.392857142857143	0.690476190476191	0.392857142857143	0.785714285714286	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	20.0	0.571428571428571	0.321428571428571	0.857142857142857	0.583333333333333	0.321428571428571	0.785714285714286	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	21.0	0.892857142857143	0.321428571428571	0.142857142857143	0.452380952380952	0.142857142857143	0.821428571428571	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	22.0	0.285714285714286	-0.392857142857143	0.214285714285714	0.0357142857142857	-0.392857142857143	-0.25	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	23.0	0.392857142857143	0.214285714285714	0.571428571428571	0.392857142857143	0.214285714285714	0.535714285714286	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	24.0	0.678571428571429	0.571428571428571	0.607142857142857	0.619047619047619	0.571428571428571	0.785714285714286	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	25.0	0.785714285714286	0.857142857142857	0.821428571428571	0.821428571428572	0.785714285714286	0.25	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	26.0	0.857142857142857	0.464285714285714	0.392857142857143	0.571428571428571	0.392857142857143	0.785714285714286	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	27.0	0.857142857142857	0.464285714285714	0.678571428571429	0.666666666666667	0.464285714285714	0.785714285714286	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	28.0	1.0	-0.107142857142857	0.428571428571429	0.440476190476191	-0.107142857142857	0.892857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	29.0	0.75	0.428571428571429	-0.178571428571429	0.333333333333333	-0.178571428571429	0.5	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	30.0	0.785714285714286	0.928571428571429	0.535714285714286	0.75	0.535714285714286	0.821428571428571	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	31.0	0.714285714285714	0.0714285714285714	0.178571428571429	0.321428571428571	0.0714285714285714	0.821428571428571	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	32.0	0.678571428571429	-0.392857142857143	0.0357142857142857	0.107142857142857	-0.392857142857143	0.642857142857143	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	33.0	0.285714285714286	0.678571428571429	0.214285714285714	0.392857142857143	0.214285714285714	0.5	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	34.0	0.857142857142857	0.535714285714286	0.285714285714286	0.559523809523809	0.285714285714286	0.928571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	35.0	0.357142857142857	0.678571428571429	0.5	0.511904761904762	0.357142857142857	0.285714285714286	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	36.0	0.535714285714286	0.428571428571429	0.785714285714286	0.583333333333333	0.428571428571429	0.821428571428571	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	37.0	0.714285714285714	0.214285714285714	0.214285714285714	0.380952380952381	0.214285714285714	0.678571428571429	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	38.0	0.821428571428571	0.571428571428571	0.535714285714286	0.642857142857143	0.535714285714286	0.428571428571429	3.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	39.0	0.857142857142857	0.678571428571429	0.857142857142857	0.797619047619048	0.678571428571429	0.5	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	40.0	0.928571428571429	0.892857142857143	0.0	0.607142857142857	0.0	0.464285714285714	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	41.0	0.642857142857143	0.892857142857143	0.285714285714286	0.607142857142857	0.285714285714286	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	42.0	0.857142857142857	-0.107142857142857	0.142857142857143	0.297619047619048	-0.107142857142857	0.75	4.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	43.0	0.678571428571429	0.107142857142857	0.607142857142857	0.464285714285714	0.107142857142857	0.678571428571429	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	44.0	0.857142857142857	0.25	0.75	0.619047619047619	0.25	0.821428571428571	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	45.0	0.821428571428571	0.714285714285714	-0.928571428571429	0.202380952380952	-0.928571428571429	0.857142857142857	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	46.0	0.857142857142857	-0.178571428571429	-0.107142857142857	0.19047619047619	-0.178571428571429	0.928571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	47.0	0.714285714285714	-0.392857142857143	0.535714285714286	0.285714285714286	-0.392857142857143	0.964285714285714	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	48.0	0.25	0.535714285714286	0.285714285714286	0.357142857142857	0.25	0.285714285714286	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	49.0	0.678571428571429	0.928571428571429	0.857142857142857	0.821428571428572	0.678571428571429	0.964285714285714	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	50.0	0.821428571428571	0.107142857142857	0.678571428571429	0.535714285714286	0.107142857142857	0.571428571428571	4.0										
