gene_symbol	n_entrez_per_symbol	probe_id	gene_symbol_raw	entrez_raw	platform	symbol_unique	entrez_unique	entrez_id	mapping_status	used_reliable	selected_highest_iqr_probe	used_shared_universe
HIST1H3G	1	11715100_at	HIST1H3G	8355	GPL13667	TRUE	TRUE	8355	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
HIST1H3G	1	11715101_s_at	HIST1H3G	8355	GPL13667	TRUE	TRUE	8355	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
HIST1H3G	1	11715102_x_at	HIST1H3G	8355	GPL13667	TRUE	TRUE	8355	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
TNFAIP8L1	1	11715103_x_at	TNFAIP8L1	126282	GPL13667	TRUE	TRUE	126282	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
OTOP2	1	11715104_s_at	OTOP2	92736	GPL13667	TRUE	TRUE	92736	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
C17orf78	1	11715105_at	C17orf78	284099	GPL13667	TRUE	TRUE	284099	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
CTAGE6	1	11715106_x_at	CTAGE6	340307	GPL13667	TRUE	TRUE	340307	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
	0	11715107_s_at	F8A1 /// F8A2 /// F8A3	474383 /// 474384 /// 8263	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
LOC285501	1	11715108_x_at	LOC285501	285501	GPL13667	TRUE	TRUE	285501	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	FALSE
SAMD7	1	11715109_at	SAMD7	344658	GPL13667	TRUE	TRUE	344658	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
ARRDC5	1	11715110_at	ARRDC5	645432	GPL13667	TRUE	TRUE	645432	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
	0	11715111_s_at	CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8	1082 /// 114335 /// 114336 /// 93659 /// 94027 /// 94115	GPL13667	FALSE	FALSE		MISSING_OR_AMBIGUOUS_SYMBOL	FALSE	FALSE	FALSE
C1orf173	1	11715112_at	C1orf173	127254	GPL13667	TRUE	TRUE	127254	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
FAM86C	1	11715113_x_at	FAM86C	55199	GPL13667	TRUE	TRUE	55199	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	FALSE
