gene_symbol	entrez_id_a	entrez_id_n	entrez_agreement
A1BG	1	1	TRUE
A1CF	29974	29974	TRUE
A2M	2	2	TRUE
A2ML1	144568	144568	TRUE
A3GALT2	127550	127550	TRUE
A4GALT	53947	53947	TRUE
A4GNT	51146	51146	TRUE
AAAS	8086	8086	TRUE
AACS	65985	65985	TRUE
AADAC	13	13	TRUE
AADACL2	344752	344752	TRUE
AADACL3	126767	126767	TRUE
AADACL4	343066	343066	TRUE
AADAT	51166	51166	TRUE
AAGAB	79719	79719	TRUE
AAK1	22848	22848	TRUE
AAMP	14	14	TRUE
AANAT	15	15	TRUE
AARS	16	16	TRUE
AARS2	57505	57505	TRUE
AASDH	132949	132949	TRUE
AASDHPPT	60496	60496	TRUE
AASS	10157	10157	TRUE
AATF	26574	26574	TRUE
AATK	9625	9625	TRUE
ABAT	18	18	TRUE
ABCA1	19	19	TRUE
ABCA10	10349	10349	TRUE
ABCA12	26154	26154	TRUE
ABCA13	154664	154664	TRUE
ABCA2	20	20	TRUE
ABCA3	21	21	TRUE
ABCA4	24	24	TRUE
ABCA5	23461	23461	TRUE
ABCA6	23460	23460	TRUE
ABCA7	10347	10347	TRUE
ABCA8	10351	10351	TRUE
ABCA9	10350	10350	TRUE
ABCB1	5243	5243	TRUE
ABCB10	23456	23456	TRUE
ABCB11	8647	8647	TRUE
ABCB4	5244	5244	TRUE
ABCB5	340273	340273	TRUE
ABCB7	22	22	TRUE
ABCB8	11194	11194	TRUE
ABCB9	23457	23457	TRUE
ABCC1	4363	4363	TRUE
ABCC10	89845	89845	TRUE
ABCC11	85320	85320	TRUE
ABCC12	94160	94160	TRUE
ABCC13	150000	150000	TRUE
ABCC2	1244	1244	TRUE
ABCC3	8714	8714	TRUE
ABCC4	10257	10257	TRUE
ABCC5	10057	10057	TRUE
ABCC6P1	653190	653190	TRUE
ABCC8	6833	6833	TRUE
ABCC9	10060	10060	TRUE
ABCD1	215	215	TRUE
ABCD2	225	225	TRUE
ABCD3	5825	5825	TRUE
ABCD4	5826	5826	TRUE
ABCE1	6059	6059	TRUE
ABCF1	23	23	TRUE
ABCF2	10061	10061	TRUE
ABCF3	55324	55324	TRUE
ABCG1	9619	9619	TRUE
