program	gene_symbol
acute_injury	ABCA1
acute_injury	ACKR3
acute_injury	AREG
acute_injury	ATF3
acute_injury	ATP2B1
acute_injury	B4GALT1
acute_injury	B4GALT5
acute_injury	BCL2A1
acute_injury	BCL3
acute_injury	BCL6
acute_injury	BHLHE40
acute_injury	BIRC2
acute_injury	BIRC3
acute_injury	BMP2
acute_injury	BTG1
acute_injury	BTG2
acute_injury	BTG3
acute_injury	CCL2
acute_injury	CCL20
acute_injury	CCL4
acute_injury	CCL5
acute_injury	CCN1
acute_injury	CCND1
acute_injury	CCNL1
acute_injury	CCRL2
acute_injury	CD44
acute_injury	CD69
acute_injury	CD80
acute_injury	CD83
acute_injury	CDKN1A
acute_injury	CEBPB
acute_injury	CEBPD
acute_injury	CFLAR
acute_injury	CLCF1
acute_injury	CSF1
acute_injury	CSF2
acute_injury	CXCL1
acute_injury	CXCL10
acute_injury	CXCL11
acute_injury	CXCL2
acute_injury	CXCL3
acute_injury	CXCL6
acute_injury	DENND5A
acute_injury	DNAJB4
acute_injury	DRAM1
acute_injury	DUSP1
acute_injury	DUSP2
acute_injury	DUSP4
acute_injury	DUSP5
acute_injury	EDN1
acute_injury	EFNA1
acute_injury	EGR1
acute_injury	EGR2
acute_injury	EGR3
acute_injury	EHD1
acute_injury	EIF1
acute_injury	ETS2
acute_injury	F2RL1
acute_injury	F3
acute_injury	FJX1
acute_injury	FOS
acute_injury	FOSB
acute_injury	FOSL1
acute_injury	FOSL2
acute_injury	FUT4
acute_injury	G0S2
acute_injury	GADD45A
acute_injury	GADD45B
acute_injury	GCH1
acute_injury	GEM
acute_injury	GFPT2
acute_injury	GPR183
acute_injury	HBEGF
acute_injury	HES1
acute_injury	ICAM1
acute_injury	ICOSLG
acute_injury	ID2
acute_injury	IER2
acute_injury	IER3
acute_injury	IER5
acute_injury	IFIH1
acute_injury	IFIT2
acute_injury	IFNGR2
acute_injury	IL12B
acute_injury	IL15RA
acute_injury	IL18
acute_injury	IL1A
acute_injury	IL1B
acute_injury	IL23A
acute_injury	IL6
acute_injury	IL6ST
acute_injury	IL7R
acute_injury	INHBA
acute_injury	IRF1
acute_injury	IRS2
acute_injury	JAG1
acute_injury	JUN
acute_injury	JUNB
acute_injury	KDM6B
acute_injury	KLF10
acute_injury	KLF2
acute_injury	KLF4
acute_injury	KLF6
acute_injury	KLF9
acute_injury	KYNU
acute_injury	LAMB3
acute_injury	LDLR
acute_injury	LIF
acute_injury	LITAF
acute_injury	MAFF
acute_injury	MAP2K3
acute_injury	MAP3K8
acute_injury	MARCKS
acute_injury	MCL1
acute_injury	MSC
acute_injury	MXD1
acute_injury	MYC
acute_injury	NAMPT
acute_injury	NFAT5
acute_injury	NFE2L2
acute_injury	NFIL3
acute_injury	NFKB1
acute_injury	NFKB2
acute_injury	NFKBIA
acute_injury	NFKBIE
acute_injury	NINJ1
acute_injury	NR4A1
acute_injury	NR4A2
acute_injury	NR4A3
acute_injury	OLR1
acute_injury	PANX1
acute_injury	PDE4B
